# Gene panel: Ciliopati-v6 -- Date: 2021-09-22
#gene symbol	HGNC	remove (add x)	phenotype	inheritance	omim_number	pmid	inheritance info	comment
ACVR2B	174		Heterotaxy, visceral, 4, autosomal		613751			
ADGRV1	17416		?Febrile seizures, familial, 4	AD	604352			
ADGRV1	17416		Usher syndrome, type 2C	AR	605472			
ADGRV1	17416		Usher syndrome, type 2C, GPR98/PDZD7 digenic	AR	605472			
AHI1	21575		Joubert syndrome 3	AR	608629			
AIPL1	359		Cone-rod dystrophy	AD/AR	604393			
AIPL1	359		Leber congenital amaurosis 4	AD/AR	604393			
AIPL1	359		Retinitis pigmentosa, juvenile	AD/AR	604393			
ALMS1	428		Alstrom syndrome	AR	203800			
ANKS6	26724		Nephronophthisis 16	AR	615382			
ARL13B	25419		Joubert syndrome 8	AR	612291			
ARL6	13210		Bardet-Biedl syndrome 3	AR	600151			
ARL6	13210		Retinitis pigmentosa 55	AR	613575			
ARL6	13210		{Bardet-Biedl syndrome 1, modifier of}	AR/DR	209900			
ATXN10	10549		Spinocerebellar ataxia 10	AD	603516			
B9D1	24123		?Meckel syndrome 9	AR	614209			
B9D1	24123		Joubert syndrome 27	AR	617120			
B9D2	28636		?Meckel syndrome 10	AR	614175			
B9D2	28636		Joubert syndrome 34	AR	614175			
BBIP1	28093		?Bardet-Biedl syndrome 18	AR	615995			
BBS1	966		Bardet-Biedl syndrome 1	AR/DR	209900			
BBS10	26291		Bardet-Biedl syndrome 10	AR	615987			
BBS12	26648		Bardet-Biedl syndrome 12	AR	615989			
BBS2	967		Bardet-Biedl syndrome 2	AR	615981			
BBS2	967		Retinitis pigmentosa 74	AR	616562			
BBS4	969		Bardet-Biedl syndrome 4	AR	615982			
BBS5	970		Bardet-Biedl syndrome 5	AR	615983			
BBS7	18758		Bardet-Biedl syndrome 7	AR	615984			
BBS9	30000		Bardet-Biedl syndrome 9	AR	615986			
C2CD3	24564		Orofaciodigital syndrome XIV	AR	615948			
CABP4	1386		Cone-rod synaptic disorder, congenital nonprogressive	AR	610427			
CC2D2A	29253		COACH syndrome 2		619111			
CC2D2A	29253		Joubert syndrome 9	AR	612285			
CC2D2A	29253		Meckel syndrome 6	AR	612284			
CCDC103	32700		Ciliary dyskinesia, primary, 17	AR	614679			
CCDC28B	28163		{Bardet-Biedl syndrome 1, modifier of}	AR/DR	209900			
CCDC39	25244		Ciliary dyskinesia, primary, 14	AR	613807			
CCDC40	26090		Ciliary dyskinesia, primary, 15	AR	613808			
CCDC65	29937		Ciliary dyskinesia, primary, 27	AR	615504			
CCNO	18576		Ciliary dyskinesia, primary, 29	AR	615872			
CDH23	13733		Deafness, autosomal recessive 12	AR	601386			
CDH23	13733		Usher syndrome, type 1D	AR/DR	601067			
CDH23	13733		Usher syndrome, type 1D/F digenic	AR/DR	601067			
CDH23	13733		{Pituitary adenoma 5, multiple types}	AD	617540			
