# Gene panel: HBOCUTV-v1 -- Date: 2022-01-31
#gene symbol	HGNC	remove (add x)	phenotype	inheritance	omim_number	pmid	inheritance info	comment
BRCA1	1100		Fanconi anemia, complementation group S	AR	617883			
BRCA1	1100		{Breast-ovarian cancer, familial, 1}	AD	604370			
BRCA1	1100		{Pancreatic cancer, susceptibility to, 4}		614320			
BRCA2	1101		Fanconi anemia, complementation group D1	AR	605724			
BRCA2	1101		Wilms tumor	AD/SM	194070			
BRCA2	1101		{Breast cancer, male, susceptibility to}	AD/SM	114480			
BRCA2	1101		{Breast-ovarian cancer, familial, 2}	AD	612555			
BRCA2	1101		{Glioblastoma 3}	AR	613029			
BRCA2	1101		{Medulloblastoma}	AD/AR/SM	155255			
BRCA2	1101		{Pancreatic cancer 2}		613347			
BRCA2	1101		{Prostate cancer}	AD/SM	176807			
CDH1	1748		Blepharocheilodontic syndrome 1	AD	119580			
CDH1	1748		Endometrial carcinoma, somatic		608089			
CDH1	1748		Gastric cancer, hereditary diffuse, with or without cleft lip and/or palate	AD	137215			
CDH1	1748		Ovarian cancer, somatic		167000			
CDH1	1748		{Breast cancer, lobular}	AD/SM	114480			
CDH1	1748		{Prostate cancer, susceptibility to}	AD/SM	176807			
PALB2	26144		Fanconi anemia, complementation group N		610832			
PALB2	26144		{Breast cancer, susceptibility to}	AD/SM	114480			
PALB2	26144		{Pancreatic cancer, susceptibility to, 3}		613348			
PTEN	9588		Cowden syndrome 1	AD	158350			
PTEN	9588		Lhermitte-Duclos syndrome	AD	158350			
PTEN	9588		Macrocephaly/autism syndrome	AD	605309			
PTEN	9588		Prostate cancer, somatic		176807			
PTEN	9588		{Glioma susceptibility 2}		613028			
PTEN	9588		{Meningioma}	AD	607174			
STK11	11389		Melanoma, malignant, somatic		155600			
STK11	11389		Pancreatic cancer, somatic		260350			
STK11	11389		Peutz-Jeghers syndrome	AD	175200			
STK11	11389		Testicular tumor, somatic		273300			
TP53	11998		Bone marrow failure syndrome 5	AD	618165			
TP53	11998		Breast cancer, somatic		114480			
TP53	11998		Hepatocellular carcinoma, somatic		114550			
TP53	11998		Li-Fraumeni syndrome	AD	151623			
TP53	11998		Nasopharyngeal carcinoma, somatic		607107			
TP53	11998		Pancreatic cancer, somatic		260350			
TP53	11998		{Adrenocortical carcinoma, pediatric}	AD	202300			
TP53	11998		{Basal cell carcinoma 7}	AD	614740			
TP53	11998		{Choroid plexus papilloma}	AD	260500			
TP53	11998		{Colorectal cancer}	AD/SM	114500			
TP53	11998		{Glioma susceptibility 1}	AD/SM	137800			
TP53	11998		{Osteosarcoma}	SM	259500			
