# Genepanel: HBOC Version: 01 Date: 2017-11-07
#gene symbol	HGNC	remove (add x)	phenotype	inheritance	omim_number	pmid	inheritance info	comment
BRCA1	1100		{Breast-ovarian cancer, familial, 1}	AD	604370			
BRCA1	1100		{Pancreatic cancer, susceptibility to, 4}		614320			
BRCA2	1101		Fanconi anemia, complementation group D1	AR	605724			
BRCA2	1101		Wilms tumor	AD;SMu	194070			
BRCA2	1101		{Breast cancer, male, susceptibility to}	AD	114480			
BRCA2	1101		{Breast-ovarian cancer, familial, 2}	AD	612555			
BRCA2	1101		{Glioblastoma 3}	AR	613029			
BRCA2	1101		{Medulloblastoma}	AD;AR	155255			
BRCA2	1101		{Pancreatic cancer 2}		613347			
BRCA2	1101		{Prostate cancer}	AD	176807			
