# Gene panel: Mendel-v12 -- Date: 2022-01-31
#gene symbol	HGNC	remove (add x)	phenotype	inheritance	omim_number	pmid	inheritance info	comment
A4GALT	18149		NOR polyagglutination syndrome		111400			
A4GALT	18149		[Blood group, P1Pk system, P(2) phenotype]		111400			
A4GALT	18149		[Blood group, P1Pk system, p phenotype]		111400			
AAAS	13666		Achalasia-addisonianism-alacrimia syndrome	AR	231550			
AAGAB	25662		Keratoderma, palmoplantar, punctate type IA	AD	148600			
AARS1	20		?Leukoencephalopathy, hereditary diffuse, with spheroids 2	AD	619661			
AARS1	20		Charcot-Marie-Tooth disease, axonal, type 2N	AD	613287			
AARS1	20		Developmental and epileptic encephalopathy 29	AR	616339			
AARS1	20		Trichothiodystrophy 8, nonphotosensitive	AR	619691			
AARS2	21022		Combined oxidative phosphorylation deficiency 8	AR	614096			
AARS2	21022		Leukoencephalopathy, progressive, with ovarian failure	AR	615889			
AASS	17366		Hyperlysinemia	AR	238700			
ABAT	23		GABA-transaminase deficiency	AR	613163			
ABCA1	29		HDL deficiency, familial, 1	AD	604091			
ABCA1	29		Tangier disease	AR	205400			
ABCA12	14637		Ichthyosis, congenital, autosomal recessive 4A	AR	601277			
ABCA12	14637		Ichthyosis, congenital, autosomal recessive 4B (harlequin)	AR	242500			
ABCA3	33		Surfactant metabolism dysfunction, pulmonary, 3	AR	610921			
ABCA4	34		Cone-rod dystrophy 3		604116			
ABCA4	34		Fundus flavimaculatus	AR	248200			
ABCA4	34		Retinal dystrophy, early-onset severe	AR	248200			
ABCA4	34		Retinitis pigmentosa 19	AR	601718			
ABCA4	34		Stargardt disease 1	AR	248200			
ABCA4	34		{Macular degeneration, age-related, 2}	AD	153800			
ABCA5	35		?Hypertrichosis, congenital generalized, with gingival hyperplasia	AR	135400			
ABCB11	42		Cholestasis, benign recurrent intrahepatic, 2	AR	605479			
ABCB11	42		Cholestasis, progressive familial intrahepatic 2	AR	601847			
ABCB4	45		Cholestasis, intrahepatic, of pregnancy, 3	AD/AR	614972			
ABCB4	45		Cholestasis, progressive familial intrahepatic 3	AR	602347			
ABCB4	45		Gallbladder disease 1	AD/AR	600803			
ABCB6	47		Dyschromatosis universalis hereditaria 3	AD	615402			
ABCB6	47		Microphthalmia, isolated, with coloboma 7	AD	614497			
ABCB6	47		Pseudohyperkalemia, familial, 2, due to red cell leak	AD	609153			
ABCB6	47		[Blood group, Langereis system]		111600			
ABCB7	48		Anemia, sideroblastic, with ataxia	XR	301310			
ABCC2	53		Dubin-Johnson syndrome	AR	237500			
ABCC6	57		Arterial calcification, generalized, of infancy, 2	AR	614473			
ABCC6	57		Pseudoxanthoma elasticum	AR	264800			
ABCC6	57		Pseudoxanthoma elasticum, forme fruste	AD	177850			
ABCC8	59		Diabetes mellitus, noninsulin-dependent	AD	125853			
ABCC8	59		Diabetes mellitus, permanent neonatal 3, with or without neurologic features	AD/AR	618857			
ABCC8	59		Diabetes mellitus, transient neonatal 2		610374			
ABCC8	59		Hyperinsulinemic hypoglycemia, familial, 1	AD/AR	256450			
ABCC8	59		Hypoglycemia of infancy, leucine-sensitive	AD	240800			
ABCC9	60		?Atrial fibrillation, familial, 12	AD	614050			
ABCC9	60		Cardiomyopathy, dilated, 1O	AD	608569			
ABCC9	60		Hypertrichotic osteochondrodysplasia (Cantu syndrome)	AD	239850			
ABCC9	60		Intellectual disability and myopathy syndrome	AR	619719			
ABCD1	61		Adrenoleukodystrophy	XR	300100			
ABCD1	61		Adrenomyeloneuropathy, adult	XR	300100			
ABCD3	67		?Bile acid synthesis defect, congenital, 5	AR	616278			
ABCD4	68		Methylmalonic aciduria and homocystinuria, cblJ type	AR	614857			
ABCG5	13886		Sitosterolemia 2	AR	618666			
ABCG8	13887		Sitosterolemia 1	AR	210250			
ABCG8	13887		{Gallbladder disease 4}		611465			
