# Genepanel: OMIM Version: 01 Date: 2017-11-07
#gene symbol	HGNC	remove (add x)	phenotype	inheritance	omim_number	pmid	inheritance info	comment
A2M	7		Alpha-2-macroglobulin deficiency	AD	614036			
A2M	7		{Alzheimer disease, susceptibility to}	AD	104300			
A4GALT	18149		[Blood group, P1Pk system, p phenotype]		111400			
A4GALT	18149		NOR polyagglutination syndrome		111400			
A4GALT	18149		[Blood group, P1Pk system, P(2) phenotype]		111400			
AAAS	13666		Achalasia-addisonianism-alacrimia syndrome	AR	231550			
AAGAB	25662		Keratoderma, palmoplantar, punctate type IA	AD	148600			
AARS	20		Epileptic encephalopathy, early infantile, 29	AR	616339			
AARS	20		Charcot-Marie-Tooth disease, axonal, type 2N	AD	613287			
AARS2	21022		Combined oxidative phosphorylation deficiency 8	AR	614096			
AARS2	21022		Leukoencephalopathy, progressive, with ovarian failure	AR	615889			
AASS	17366		Saccharopinuria	AR	268700			
AASS	17366		Hyperlysinemia	AR	238700			
ABAT	23		GABA-transaminase deficiency	AR	613163			
ABCA12	14637		Ichthyosis, congenital, autosomal recessive 4A	AR	601277			
ABCA12	14637		Ichthyosis, congenital, autosomal recessive 4B (harlequin)	AR	242500			
ABCA3	33		Surfactant metabolism dysfunction, pulmonary, 3	AR	610921			
ABCA4	34		Fundus flavimaculatus	AR	248200			
ABCA4	34		Cone-rod dystrophy 3		604116			
ABCA4	34		{Macular degeneration, age-related, 2}	AD	153800			
ABCA4	34		Stargardt disease 1	AR	248200			
ABCA4	34		Retinitis pigmentosa 19	AR	601718			
ABCA4	34		Retinal dystrophy, early-onset severe	AR	248200			
ABCA7	37		{Alzheimer disease 9, susceptibility to}	AD	608907			
ABCB1	40		{Inflammatory bowel disease 13}		612244			
ABCB1	40		{Colchicine resistance}		120080			
ABCB11	42		Cholestasis, benign recurrent intrahepatic, 2	AR	605479			
ABCB11	42		Cholestasis, progressive familial intrahepatic 2	AR	601847			
ABCB4	45		Cholestasis, intrahepatic, of pregnancy, 3	AD;AR	614972			
ABCB4	45		Gallbladder disease 1	AD;AR	600803			
ABCB4	45		Cholestasis, progressive familial intrahepatic 3	AR	602347			
ABCB6	47		[Blood group, Langereis system]		111600			
ABCB6	47		Pseudohyperkalemia, familial, 2, due to red cell leak	AD	609153			
ABCB6	47		Microphthalmia, isolated, with coloboma 7	AD	614497			
ABCB6	47		Dyschromatosis universalis hereditaria 3	AD	615402			
ABCB7	48		Anemia, sideroblastic, with ataxia	XR	301310			
