# Genepanel: Ciliopati Version: 05 Date: 2017-04-21
#gene symbol	HGNC	phenotype	inheritance	omim_number	pmid	inheritance info	comment
ACVR2B	174	Heterotaxy, visceral, 4, autosomal		613751			
AHI1	21575	Joubert syndrome-3	AR	608629			
AIPL1	359	Retinitis pigmentosa, juvenile	AR	604393			
ALMS1	428	Alstrom syndrome	AR	203800			
ANKS6	26724	Nephronophthisis 16	AR	615382			
ARL13B	25419	Joubert syndrome 8	AR	612291			
ARL6	13210	{Bardet-Biedl syndrome 1, modifier of}	AR;DR	209900			
ARL6	13210	Bardet-Biedl syndrome 3	AR	600151			
ARMC4	25583	Ciliary dyskinesia, primary, 23	AR	615451			
ATXN10	10549	Spinocerebellar ataxia 10	AD	603516			
B9D1	24123	Joubert syndrome 27	AR	617120			
B9D2	28636	Meckel syndrome 10	AR	614175			
BBIP1	28093	Bardet-Biedl syndrome 18	AR	615995			
BBS1	966	Bardet-Biedl syndrome 1	AR;DR	209900			
BBS10	26291	Bardet-Biedl syndrome 10	AR	615987			
BBS12	26648	Bardet-Biedl syndrome 12	AR	615989			
BBS2	967	Retinitis pigmentosa 74	AR	616562			
BBS2	967	Bardet-Biedl syndrome 2	AR	615981			
BBS4	969	Bardet-Biedl syndrome 4	AR	615982			
BBS5	970	Bardet-Biedl syndrome 5	AR	615983			
BBS7	18758	Bardet-Biedl syndrome 7	AR	615984			
BBS9	30000	Bardet-Biedl syndrome 9	AR	615986			
C21orf59	1301	Ciliary dyskinesia, primary, 26	AR	615500			
C2CD3	24564	Orofaciodigital syndrome XIV	AR	615948			
C2orf71	34383	Retinitis pigmentosa 54	AR	613428			
C5orf42	25801	Orofaciodigital syndrome VI	AR	277170			
C5orf42	25801	Joubert syndrome 17	AR	614615			
CABP4	1386	Cone-rod synaptic disorder, congenital nonprogressive	AR	610427			
CC2D2A	29253	Meckel syndrome 6	AR	612284			
CC2D2A	29253	Joubert syndrome 9	AR	612285			
CC2D2A	29253	COACH syndrome	AR	216360			
CCDC103	32700	Ciliary dyskinesia, primary, 17	AR	614679			
CCDC11	26530	Heterotaxy, visceral, 6, autosomal recessive	AR	614779			
CCDC114	26560	Ciliary dyskinesia, primary, 20	AR	615067			
CCDC151	28303	Ciliary dyskinesia, primary, 30	AR	616037			
CCDC28B	28163	{Bardet-Biedl syndrome 1, modifier of}	AR;DR	209900			
CCDC39	25244	Ciliary dyskinesia, primary, 14	AR	613807			
CCDC40	26090	Ciliary dyskinesia, primary, 15	AR	613808			
CCDC41	17966	Nephronophthisis 18	AR	615862			
CCDC65	29937	Ciliary dyskinesia, primary, 27	AR	615504			
CCNO	18576	Ciliary dyskinesia, primary, 29	AR	615872			
CDH23	13733	Usher syndrome, type 1D/F digenic	AR;DR	601067			
CDH23	13733	Usher syndrome, type 1D	AR;DR	601067			
CEP104	24866	Joubert syndrome 25	AR	616781			
CEP120	26690	Short-rib thoracic dysplasia 13 with or without polydactyly	AR	616300			
CEP164	29182	Nephronophthisis 15	AR	614845			
CEP290	29021	Leber congenital amaurosis 10	AR	611755			
CEP290	29021	Joubert syndrome 5	AR	610188			
CEP290	29021	?Bardet-Biedl syndrome 14	AR	615991			
CEP290	29021	Senior-Loken syndrome 6	AR	610189			
CEP290	29021	Meckel syndrome 4	AR	611134			
CEP41	12370	Joubert syndrome 15	AR	614464			
CLRN1	12605	Usher syndrome, type 3A	AR	276902			
CLRN1	12605	Retinitis pigmentosa 61	AR	614180			
CRB1	2343	Retinitis pigmentosa-12, autosomal recessive	AR	600105			
CRB1	2343	Pigmented paravenous chorioretinal atrophy	AD	172870			
CRB1	2343	Leber congenital amaurosis 8	AR	613835			
CRELD1	14630	Atrioventricular septal defect, partial, with heterotaxy syndrome	AD	606217			
CRX	2383	Cone-rod retinal dystrophy-2	AD	120970			
CRX	2383	Leber congenital amaurosis 7	AR	613829			
CSPP1	26193	Joubert syndrome 21	AR	615636			
DCDC2	18141	Nephronophthisis 19	AR	616217			
DCDC2	18141	?Deafness, autosomal recessive 66	AR	610212			
DDX59	25360	Orofaciodigital syndrome V	AR	174300			
DNAAF1	30539	Ciliary dyskinesia, primary, 13	AR	613193			
DNAAF3	30492	Ciliary dyskinesia, primary, 2	AR	606763			
DNAH11	2942	Ciliary dyskinesia, primary, 7, with or without situs inversus	AR	611884			
