# Genepanel: Ciliopati Version: 04 Date: 2017-03-02 Post-processed: 2017-03-10
#chromosome	txStart	txEnd	refseq	score	strand	geneSymbol	HGNC	geneAlias	eGeneID	eTranscriptID	cdsStart	cdsEnd	exonsStarts	exonEnds
3	38495789	38534633	NM_001106.3	0	+	ACVR2B	174	ActR-IIB	ENSG00000114739	ENST00000352511	38495813	38524823	38495789,38518777,38519351,38519631,38519865,38520618,38521168,38522841,38523688,38523920,38524628	38495865,38518985,38519461,38519783,38520009,38520762,38521317,38522956,38523827,38524051,38534633
6	135605109	135818903	NM_017651.4	0	-	AHI1	21575	FLJ20069,ORF1,JBTS3	ENSG00000135541	ENST00000457866	135606782	135813375	135605109,135611560,135621637,135639656,135644299,135679269,135715913,135726088,135732485,135748304,135749766,135751019,135752345,135754164,135759512,135763719,135768145,135769427,135774478,135776871,135778631,135784262,135786951,135788718,135811760,135813365,135818325,135818720	135606785,135611663,135621696,135639754,135644462,135679325,135716034,135726115,135732682,135748445,135749897,135751138,135752452,135754394,135759636,135763852,135768298,135769613,135774574,135777064,135778851,135784444,135787511,135788772,135811885,135813429,135818387,135818903
17	6327056	6338519	NM_014336.4	0	-	AIPL1	359		ENSG00000129221	ENST00000381129	6328779	6338424	6327056,6329934,6330200,6331637,6337238,6338328	6329150,6330076,6330377,6331826,6337418,6338519
2	73612885	73837046	NM_015120.4	0	+	ALMS1	428	KIAA0328	ENSG00000116127	ENST00000264448	73612996	73836739	73612885,73635749,73646250,73649984,73651557,73653580,73659325,73675089,73682288,73716760,73746901,73761950,73777393,73784346,73786098,73799388,73826527,73827804,73828321,73829311,73830367,73835601,73836694	73613320,73635875,73646446,73650102,73652030,73653681,73659419,73681194,73682422,73718625,73747143,73762076,73777564,73784481,73786269,73800551,73826648,73828008,73828563,73829495,73830431,73835701,73837046
9	101494290	101558794	NM_173551.3	0	-	ANKS6	26724	FLJ36928,NPHP16	ENSG00000165138	ENST00000375018	101498800	101558773	101494290,101507840,101513310,101518701,101530362,101533177,101536158,101539686,101540507,101542470,101544748,101546234,101547113,101552385,101558414	101498905,101507957,101513378,101518885,101530532,101533328,101536362,101539736,101540706,101542619,101544855,101546439,101547158,101552888,101558794
3	93698982	93774522	NM_182896.2	0	+	ARL13B	25419	DKFZp761H079,JBTS8	ENSG00000169379	ENST00000471138	93699267	93772107	93698982,93714717,93722502,93754174,93755395,93758723,93761858,93768249,93769667,93772030,93772300	93699326,93714788,93722752,93754280,93755598,93758832,93762084,93768366,93769736,93772144,93774522
3	97483364	97517379	NM_177976.2	0	+	ARL6	13210	RP55	ENSG00000113966	ENST00000394206	97486951	97516893	97483364,97485475,97486924,97499002,97499458,97503798,97506833,97510614,97516867	97483821,97485534,97487074,97499064,97499527,97503893,97506963,97510670,97517379
10	28101092	28287984	NM_018076.3	0	-	ARMC4	25583	FLJ10817,FLJ10376,DKFZP434P1735,CILD23	ENSG00000169126	ENST00000305242	28101440	28284071	28101092,28149553,28151362,28196591,28223938,28225654,28228825,28229491,28233150,28233744,28250496,28257851,28260036,28270394,28272771,28273112,28273947,28276314,28283847,28287922	28101554,28149775,28151551,28196706,28224181,28225809,28228936,28229734,28233360,28233891,28250644,28257947,28260242,28270511,28272908,28273219,28274140,28276472,28284109,28287984
22	46067677	46241187	NM_013236.3	0	+	ATXN10	10549	E46L,FLJ37990	ENSG00000130638	ENST00000252934	46067943	46239551	46067677,46085591,46088875,46096161,46098568,46114292,46125304,46134610,46136248,46202838,46238870,46239548	46068059,46085783,46088958,46096258,46098727,46114373,46125470,46134719,46136418,46202902,46239058,46241187
17	19246482	19266046	NM_015681.3	0	-	B9D1	24123	B9,EPPB9,MKS9	ENSG00000108641	ENST00000261499	19246631	19265882	19246482,19247102,19250581,19251096,19261152,19263632,19265819	19246774,19247170,19250644,19251193,19261264,19263701,19266046
19	41860321	41870078	NM_030578.3	0	-	B9D2	28636	MGC4093,MKS10	ENSG00000123810	ENST00000243578	41860604	41869424	41860321,41863801,41869336,41869862	41860918,41863927,41869428,41870078
10	112658487	112678694	NM_001195306.1	0	-	BBIP1	28093	bA348N5.3,BBIP10,BBS18	ENSG00000214413	ENST00000448814	112660117	112677915	112658487,112661295,112677878,112678602	112660284,112661370,112677971,112678694
11	66278118	66301084	NM_024649.4	0	+	BBS1	966	FLJ23590	ENSG00000174483	ENST00000318312	66278130	66299508	66278118,66278483,66278675,66281876,66283010,66283163,66283331,66287087,66288740,66290926,66291194,66293593,66294119,66297289,66298364,66299126,66299421	66278177,66278560,66278710,66282149,66283057,66283202,66283404,66287219,66288847,66291047,66291353,66293663,66294278,66297423,66298499,66299213,66301084
12	76738265	76742222	NM_024685.3	0	-	BBS10	26291	FLJ23560	ENSG00000179941	ENST00000393262	76739592	76742138	76738265,76741941	76741567,76742222
4	123653856	123666098	NM_152618.2	0	+	BBS12	26648	FLJ35630,FLJ41559	ENSG00000181004	ENST00000314218	123663047	123665180	123653856,123663037	123654039,123666098
16	56518258	56554008	NM_031885.3	0	-	BBS2	967		ENSG00000125124	ENST00000245157	56518672	56553774	56518258,56519501,56530878,56531654,56532348,56533689,56534765,56535264,56536228,56536584,56539861,56540031,56543868,56544770,56545070,56548364,56553657	56518779,56519650,56530991,56531792,56532480,56533819,56534937,56535409,56536368,56536720,56539948,56540136,56543946,56544833,56545196,56548592,56554008
15	72978519	73030817	NM_033028.4	0	+	BBS4	969		ENSG00000140463	ENST00000268057	72978568	73029928	72978519,72987517,73002040,73004584,73007631,73009118,73015134,73016868,73020280,73021956,73023645,73023895,73027453,73028165,73029102,73029818	72978592,72987569,73002120,73004648,73007743,73009191,73015188,73016996,73020335,73022025,73023798,73024067,73027523,73028307,73029304,73030817
2	170336005	170363165	NM_152384.2	0	+	BBS5	970	DKFZp762I194	ENSG00000163093	ENST00000295240	170336063	170361092	170336005,170338760,170343578,170344315,170344496,170349383,170350250,170354136,170355995,170359604,170360812,170360990	170336122,170338843,170343644,170344365,170344624,170349519,170350346,170354199,170356130,170359688,170360836,170363165
