# Genepanel: Mendeliom Version: 01 Date: 2018-08-09
#chromosome	txStart	txEnd	refseq	score	strand	geneSymbol	HGNC	Omim gene entry	geneAlias	eGeneID	eTranscriptID	cdsStart	cdsEnd	exonsStarts	exonEnds
1	948846	949919	NM_005101.3	0	+	ISG15	4053	147571	IFI15,UCRP	ENSG00000187608	ENST00000379389	948953	949858	948846,949363	948956,949919
1	955502	991499	NM_198576.3	0	+	AGRN	329	103320		ENSG00000188157	ENST00000379370	955552	990361	955502,957580,970656,976044,976552,976857,977335,978618,978917,979202,979488,979713,980540,980738,981112,981343,981539,981776,982199,982706,982952,983155,983391,984246,984615,984945,985282,985612,985806,986105,986632,986832,987107,989132,989827,990203	955753,957842,970704,976260,976777,977082,977542,978837,979112,979403,979637,979819,980657,980903,981256,981468,981645,982115,982337,982834,983067,983275,983745,984439,984831,985175,985417,985709,985971,986217,986749,987025,987195,989357,989931,991499
1	1146705	1149548	NM_003327.3	0	-	TNFRSF4	11918	600315	ACT35,OX40,CD134	ENSG00000186827	ENST00000379236	1146934	1149507	1146705,1147083,1147321,1148017,1148371,1149042,1149362	1147005,1147212,1147518,1148084,1148473,1149165,1149548
1	1167628	1170420	NM_080605.3	0	+	B3GALT6	17978	615291	beta3GalT6	ENSG00000176022	ENST00000379198	1167658	1168648	1167628	1170420
1	1270657	1284492	NM_004421.2	0	-	DVL1	3084	601365		ENSG00000107404	ENST00000378891	1271521	1284445	1270657,1273356,1273648,1273901,1274741,1274961,1275115,1275417,1275626,1275789,1277046,1277432,1277742,1278068,1284275	1271895,1273563,1273816,1274033,1274819,1275029,1275192,1275557,1275696,1275883,1277185,1277536,1277864,1278138,1284492
1	1447522	1470067	NM_001170535.2	0	+	ATAD3A	25567	612316	FLJ10709	ENSG00000197785	ENST00000378756	1447648	1469452	1447522,1451391,1452690,1453095,1454300,1455520,1455927,1458123,1458890,1459218,1459652,1460619,1461840,1463074,1464602,1469305	1447853,1451468,1452792,1453155,1454370,1455686,1455997,1458279,1458947,1459344,1459777,1460671,1461911,1463242,1464711,1470067
1	1470157	1475740	NM_001114748.1	0	-	TMEM240	25186	616101		ENSG00000205090	ENST00000378733	1470738	1475726	1470157,1470968,1475063,1475669	1470887,1471177,1475170,1475740
1	1716723	1822556	NM_002074.4	0	-	GNB1	4396	139380		ENSG00000078369	ENST00000378609	1718769	1756892	1716723,1718760,1720491,1721833,1724683,1735857,1737913,1747194,1749275,1756835,1770628,1822258	1718492,1718876,1720708,1722035,1724750,1736020,1737977,1747301,1749314,1756938,1770677,1822556
1	2160133	2241652	NM_003036.3	0	+	SKI	10896	164780		ENSG00000157933	ENST00000378536	2160205	2238204	2160133,2234416,2234723,2235278,2235731,2237458,2238015	2161174,2234542,2234839,2235541,2236024,2237689,2241652
1	2336240	2344010	NM_153818.1	0	-	PEX10	8851	602859	RNF69	ENSG00000157911	ENST00000288774	2337204	2343941	2336240,2337922,2338158,2339890,2341809,2343829	2337273,2338058,2338394,2340297,2341890,2344010
1	2985741	3355185	NM_022114.3	0	+	PRDM16	14000	605557	MEL1,PFM13,KIAA1675,MGC166915,KMT8F	ENSG00000142611	ENST00000441472	2985823	3350375	2985741,3102688,3160650,3301715,3313054,3319354,3321302,3322058,3327947,3331123,3334391,3335230,3342144,3342614,3347435,3348529,3350240	2985860,3103038,3160701,3301850,3313157,3319562,3321450,3322212,3329364,3331211,3334561,3335308,3342314,3342789,3347672,3348704,3355185
1	3728644	3773797	NM_014704.3	0	-	CEP104	24866	616690	GlyBP,RP1-286D6.4,CFAP256,ROC22,JBTS25	ENSG00000116198	ENST00000378230	3731965	3768971	3728644,3732843,3739737,3739987,3742321,3742933,3743271,3745829,3746354,3747609,3750425,3751488,3753058,3753855,3755527,3756171,3761470,3761852,3764038,3765171,3768858,3773452	3732081,3732934,3739805,3740126,3742430,3743000,3743308,3745937,3746561,3747786,3750599,3751656,3753256,3754083,3755683,3756340,3761547,3761915,3764177,3765345,3768985,3773797
1	5922867	6052533	NM_015102.4	0	-	NPHP4	19104	607215	SLSN4,KIAA0673,POC10	ENSG00000131697	ENST00000378156	5923324	6046349	5922867,5923949,5924397,5925161,5926432,5927089,5927799,5933311,5934530,5934933,5937152,5940173,5947345,5950927,5964676,5965351,5965691,5967174,5969211,5987708,5993206,6007163,6008129,6012759,6021853,6027358,6029146,6038329,6046214,6052303	5923465,5924093,5924577,5925333,5926518,5927175,5927956,5933395,5934717,5935160,5937358,5940299,5947526,5951088,5964864,5965543,5965843,5967282,5969273,5987847,5993389,6007290,6008311,6012896,6022009,6027423,6029319,6038473,6046387,6052533
1	6484847	6521004	NM_031475.2	0	+	ESPN	13281	606351		ENSG00000187017	ENST00000377828	6485015	6520206	6484847,6488285,6500313,6500685,6500993,6504540,6505723,6508700,6511662,6511892,6517243,6517420,6520058	6485309,6488479,6500500,6500868,6501125,6504742,6505995,6509151,6511808,6512156,6517323,6517432,6521004
1	6526151	6551761	NM_020631.4	0	-	PLEKHG5	29105	611101	KIAA0720,Syx,GEF720,Tech	ENSG00000171680	ENST00000377728	6527622	6537631	6526151,6527884,6529101,6529394,6529603,6530295,6530565,6530794,6531049,6531547,6531817,6532586,6533045,6533310,6534072,6534510,6535106,6535521,6535990,6537588,6551696	6527632,6528646,6529301,6529510,6529736,6530415,6530703,6530944,6531160,6531697,6531868,6532682,6533234,6533514,6534224,6534647,6535198,6535582,6536096,6537718,6551761
1	6845383	7829766	NM_015215.3	0	+	CAMTA1	18806	611501	KIAA0833	ENSG00000171735	ENST00000303635	6845590	7826551	6845383,6880240,6885151,7151363,7309550,7527889,7700459,7721785,7723412,7730970,7737658,7792507,7796403,7796990,7797314,7798018,7804894,7805904,7807769,7811258,7812518,7815697,7826518	6845635,6880310,6885270,7151431,7309686,7527961,7700613,7721926,7725259,7731097,7737793,7792659,7796600,7797069,7797630,7798542,7805082,7806151,7807841,7811452,7812593,7815728,7829766
1	8021713	8045342	NM_007262.4	0	+	PARK7	16369	602533	DJ-1,DJ1,GATD2	ENSG00000116288	ENST00000338639	8022845	8045114	8021713,8022822,8025383,8029404,8030953,8037711,8044953	8021853,8022935,8025485,8029464,8031023,8037798,8045342
