# Genepanel: Mendeliom Version: 01 Date: 2018-08-09
#gene symbol	HGNC	phenotype	inheritance	omim_number	pmid	inheritance info	comment	Phenotype categories (multiple columns)
A2M	7	Alpha-2-macroglobulin deficiency	AD	614036				
AAAS	13666	Achalasia-addisonianism-alacrimia syndrome	AR	231550				
AAGAB	25662	Keratoderma, palmoplantar, punctate type IA	AD	148600				
AARS	20	Charcot-Marie-Tooth disease, axonal, type 2N	AD	613287				
AARS	20	Epileptic encephalopathy, early infantile, 29	AR	616339				
AARS2	21022	Combined oxidative phosphorylation deficiency 8	AR	614096				
AARS2	21022	Leukoencephalopathy, progressive, with ovarian failure	AR	615889				
AASS	17366	Saccharopinuria	AR	268700				
AASS	17366	Hyperlysinemia	AR	238700				
ABAT	23	GABA-transaminase deficiency	AR	613163				
ABCA1	29	Tangier disease	AR	205400				
ABCA12	14637	Ichthyosis, congenital, autosomal recessive 4A	AR	601277				
ABCA12	14637	Ichthyosis, congenital, autosomal recessive 4B (harlequin)	AR	242500				
ABCA3	33	Surfactant metabolism dysfunction, pulmonary, 3	AR	610921				
ABCA4	34	Cone-rod dystrophy 3	AR	604116				
ABCA4	34	Fundus flavimaculatus	AR	248200				
ABCA4	34	Retinal dystrophy, early-onset severe	AR	248200				
ABCA4	34	Retinitis pigmentosa 19	AR	601718				
ABCA4	34	Stargardt disease 1	AR	248200				
ABCA5	35	Epilepsy, gingival hyperplasia and hypertrichosis	AR		24831815			
ABCB4	45	Cholestasis, intrahepatic, of pregnancy, 3	AR;AD	614972				
ABCB4	45	Cholestasis, progressive familial intrahepatic 3	AR	602347				
ABCB4	45	Gallbladder disease 1	AR;AD	600803				
ABCB6	47	Dyschromatosis universalis hereditaria 3	AD	615402				
ABCB6	47	Microphthalmia, isolated, with coloboma 7	AD	614497				
ABCB6	47	Pseudohyperkalemia, familial, 2, due to red cell leak	AD	609153				
ABCB7	48	Anemia, sideroblastic, with ataxia	XR	301310				
ABCC2	53	Dubin-Johnson syndrome	AR	237500				
ABCC6	57	Arterial calcification, generalized, of infancy, 2	AR	614473				
ABCC6	57	Pseudoxanthoma elasticum	AR	264800				
ABCC6	57	Pseudoxanthoma elasticum, forme fruste	AD	177850				
ABCC8	59	Diabetes mellitus, noninsulin-dependent	AD	125853				
ABCC8	59	Diabetes mellitus, permanent neonatal	AR;AD	606176				
ABCC8	59	Diabetes mellitus, transient neonatal 2		610374				
ABCC8	59	Hyperinsulinemic hypoglycemia, familial, 1	AR;AD	256450				
