# Gene panel: Ciliopati-v6 -- Date: 2021-09-22
#chromosome	txStart	txEnd	refseq	source	score	strand	geneSymbol	HGNC	OMIM gene entry	geneAlias	inheritance	cdsStart	cdsEnd	exonStarts	exonEnds
1	10003532	10045556	NM_022787.4	MANE select	0	+	NMNAT1	17877	608700	NMNAT,PNAT1	AR	10032131	10042759	10003532,10032075,10035649,10041088,10042358	10003573,10032246,10035833,10041228,10045556
1	155158299	155162700	NM_001371720.1	RefSeq select	0	-	MUC1	7508	158340	CD227,PEM,ADMCKD,ADMCKD1,MCKD,MCD	AD	155158610	155162634	155158299,155159700,155159930,155160197,155160483,155160638,155161619,155162576	155158685,155159850,155160052,155160334,155160539,155161619,155162101,155162700
1	197237381	197447585	NM_201253.3	MANE select	0	+	CRB1	2343	604210	LCA8	AD	197237542	197447009	197237381,197297551,197313410,197316469,197325960,197390129,197396583,197398578,197403835,197407676,197411295,197446793	197237612,197298133,197313606,197316609,197326143,197391086,197397131,197398744,197404742,197407805,197411422,197447585
1	200613164	200639035	NM_001031725.6	MANE select	0	-	DDX59	25360	615464	DKFZP564B1023,ZNHIT5	AR	200613381	200635868	200613164,200617566,200618201,200619552,200628154,200633046,200635064,200638894	200613645,200617695,200618354,200619804,200628244,200633214,200635879,200639035
1	204123946	204135465	NM_000537.4	MANE select	0	-	REN	9958	609848		AD	204124143	204135421	204123946,204124947,204125305,204125804,204126488,204128526,204129687,204130419,204131140,204135323	204124305,204125046,204125447,204125924,204126497,204128723,204129806,204130543,204131291,204135465
1	211649863	211665504	NM_001164688.2	MANE select	0	-	RD3	19689	180040	LCA12	AR	211652377	211654757	211649863,211654461,211665109	211652669,211654768,211665504
1	215796232	216596790	NM_206933.4	MANE select	0	-	USH2A	12601	608400	RP39	AD/AR	215799122	216595678	215796232,215802155,215807800,215812496,215813899,215820863,215821869,215823933,215844313,215847441,215853490,215901371,215914716,215916518,215931936,215933001,215940022,215953184,215955383,215956079,215960011,215963400,215972248,215987077,215990338,216011332,216017635,216019165,216040348,216051099,216052105,216061767,216073416,216074096,216107957,216138658,216143966,216166361,216172228,216173744,216219772,216221875,216243442,216246230,216246438,216251430,216256797,216258039,216260060,216262354,216270424,216348593,216363564,216369894,216371656,216372968,216380614,216390728,216405294,216419926,216424244,216462621,216465516,216495224,216496815,216497509,216498646,216500932,216538294,216591855,216595193,216596555	215799212,215802377,215808045,215812580,215814076,215821072,215822108,215824143,215844635,215848958,215853718,215901726,215914879,215916677,215932094,215933185,215940130,215953383,215955538,215956277,215960216,215963624,215972467,215987246,215990537,216011445,216017838,216019375,216040512,216051222,216052440,216062396,216073559,216074247,216108137,216138821,216144118,216166509,216172400,216173904,216219934,216221989,216243634,216246311,216246642,216251704,216256928,216258219,216260162,216262481,216270555,216348824,216363709,216370064,216371926,216373463,216380773,216390892,216405478,216420568,216424440,216462752,216465712,216495318,216497037,216497694,216498941,216500996,216538427,216592021,216595882,216596790
1	225589203	225615740	NM_002296.4	MANE select	0	-	LBR	6518	600024	DHCR14B,TDRD18	AD/AR	225591004	225611777	225589203,225592105,225592327,225594365,225597992,225599038,225600155,225602979,225605685,225606964,225607416,225609778,225611612,225615655	225591165,225592228,225592408,225594534,225598118,225599142,225600347,225603034,225605882,225607154,225607500,225609979,225611791,225615740
1	243419342	243663393	NM_006642.5	MANE select	0	+	SDCCAG8	10671	613524	NY-CO-8,CCCAP,SLSN7,NPHP10,BBS16	AD/AR	243419475	243663087	243419342,243433406,243434279,243437844,243449573,243456392,243468014,243471290,243480056,243493841,243504340,243507516,243542022,243579003,243581269,243589728,243652315,243663057	243419542,243433559,243434365,243437958,243449699,243456521,243468079,243471479,243480195,243493994,243504475,243507633,243542165,243579131,243581378,243589860,243652442,243663393
1	32666195	32670988	NM_024296.5	MANE select	0	+	CCDC28B	28163	610162	MGC1203,RP4-622L5.5	AR	32667536	32670849	32666195,32667513,32669479,32669786,32670198,32670794	32666310,32667700,32669646,32669980,32670221,32670988
