# Genepanel: Ciliopati Version: 05 Date: 2017-04-21
#gene symbol	refseq	x10
ARMC4	NM_018076.3	94.5933
OFD1	NM_003611.2	94.76
HEATR2	NM_017802.3	95.9333
ANKS6	NM_173551.3	96.4133
EVC	NM_153717.2	96.4933
RPGRIP1L	NM_015272.2	96.88
IMPDH1	NM_000883.3	97.1133
IQCB1	NM_001023570.2	97.32
KIF7	NM_198525.2	97.8533
CEP290	NM_025114.3	98.12
EVC2	NM_147127.4	98.6067
IFT80	NM_020800.2	99.34
WDR35	NM_001006657.1	99.5
LRRC6	NM_012472.4	99.5467
RSPH4A	NM_001010892.2	99.56
BBS5	NM_152384.2	99.62
TMEM67	NM_153704.5	99.6333
CCDC11	NM_145020.3	99.66
DYNC2H1	NM_001080463.1	99.66
CCDC40	NM_017950.3	99.68
DNAI2	NM_023036.4	99.6867
INPP5E	NM_019892.4	99.72
RPGR	NM_000328.2	99.7533
SPAG1	NM_172218.2	99.7933
GAS8	NM_001286209.1	99.8333
MCIDAS	NM_001190787.1	99.8333
MYO7A	NM_000260.3	99.8333
TMEM231	NM_001077416.2	99.8467
DNAAF3	NM_001256714.1	99.86
LBR	NM_002296.3	99.88
HNF1B	NM_000458.3	99.8933
USH1G	NM_173477.4	99.9067
CEP164	NM_014956.4	99.9267
C5orf42	NM_023073.3	99.9333
CEP41	NM_018718.2	99.94
TCTN1	NM_001082538.2	99.94
CCDC41	NM_016122.2	99.9467
KIAA0586	NM_001244192.1	99.9467
C2orf71	NM_001029883.2	99.9533
GPR98	NM_032119.3	99.96
NME8	NM_016616.4	99.96
SPATA7	NM_018418.4	99.96
DNAH5	NM_001369.2	99.9667
IFT140	NM_014714.3	99.9667
NPHP3	NM_153240.4	99.9667
BBS9	NM_198428.2	99.98
CCNO	NM_021147.4	99.98
NPHP4	NM_015102.4	99.98
BBS7	NM_176824.2	99.9867
DNAH11	NM_001277115.1	99.9867
IFT74	NM_001099223.1	99.9867
TULP1	NM_003322.4	99.9867
ALMS1	NM_015120.4	99.9933
CCDC39	NM_181426.1	99.9933
IFT172	NM_015662.2	99.9933
KIAA0556	NM_015202.2	99.9933
ACVR2B	NM_001106.3	100
AHI1	NM_017651.4	100
AIPL1	NM_014336.4	100
ARL13B	NM_182896.2	100
ARL6	NM_177976.2	100
ATXN10	NM_013236.3	100
B9D1	NM_015681.3	100
B9D2	NM_030578.3	100
BBIP1	NM_001195306.1	100
BBS10	NM_024685.3	100
BBS12	NM_152618.2	100
BBS1	NM_024649.4	100
BBS2	NM_031885.3	100
BBS4	NM_033028.4	100
C21orf59	NM_021254.2	100
C2CD3	NM_015531.5	100
CABP4	NM_145200.3	100
CC2D2A	NM_001080522.2	100
CCDC103	NM_213607.2	100
CCDC114	NM_144577.3	100
CCDC151	NM_145045.4	100
CCDC28B	NM_024296.4	100
CCDC65	NM_033124.4	100
CDH23	NM_022124.5	100
CEP104	NM_014704.3	100
CEP120	NM_153223.3	100
CLRN1	NM_174878.2	100
CRB1	NM_201253.2	100
CRELD1	NM_015513.4	100
CRX	NM_000554.4	100
CSPP1	NM_024790.6	100
DCDC2	NM_016356.4	100
DDX59	NM_001031725.4	100
DNAAF1	NM_178452.4	100
DNAAF2	NM_018139.2	100
DNAI1	NM_012144.3	100
DNAJB13	NM_153614.3	100
DNAL1	NM_031427.3	100
DPH1	NM_001383.3	100
DRC1	NM_145038.3	100
DYNC2LI1	NM_001193464.1	100
DYX1C1	NM_130810.3	100
GDF6	NM_001001557.2	100
GLI3	NM_000168.5	100
GLIS2	NM_032575.2	100
GUCY2D	NM_000180.3	100
HYLS1	NM_145014.2	100
IFT122	NM_052985.3	100
IFT27	NM_006860.4	100
IFT43	NM_052873.2	100
IFT52	NM_016004.3	100
INVS	NM_014425.3	100
KCNJ13	NM_002242.4	100
LCA5	NM_181714.3	100
LRAT	NM_004744.4	100
LZTFL1	NM_020347.3	100
MAPKBP1	NM_014994.2	100
MKKS	NM_018848.3	100
MKS1	NM_017777.3	100
MUC1	NM_002456.5	100
NEK1	NM_012224.2	100
NEK8	NM_178170.2	100
NMNAT1	NM_022787.3	100
NODAL	NM_018055.4	100
NPHP1	NM_000272.3	100
PCDH15	NM_033056.3	100
PDE6D	NM_002601.3	100
PKHD1	NM_138694.3	100
PRPH2	NM_000322.4	100
RD3	NM_183059.2	100
RDH12	NM_152443.2	100
REN	NM_000537.3	100
RPE65	NM_000329.2	100
RPGRIP1	NM_020366.3	100
RSPH1	NM_080860.3	100
RSPH3	NM_031924.4	100
RSPH9	NM_152732.4	100
SBDS	NM_016038.2	100
SCNN1A	NM_001038.5	100
SCNN1B	NM_000336.2	100
SCNN1G	NM_001039.3	100
SDCCAG8	NM_006642.3	100
TCTN2	NM_024809.4	100
TCTN3	NM_015631.5	100
TMEM138	NM_016464.4	100
TMEM216	NM_001173990.2	100
TMEM237	NM_001044385.2	100
TOPORS	NM_005802.4	100
TRIM32	NM_012210.3	100
TTC21B	NM_024753.4	100
TTC8	NM_198309.3	100
UMOD	NM_003361.3	100
USH1C	NM_005709.3	100
USH2A	NM_206933.2	100
WDPCP	NM_015910.5	100
WDR19	NM_025132.3	100
WDR34	NM_052844.3	100
WDR60	NM_018051.4	100
XPNPEP3	NM_022098.3	100
ZIC3	NM_003413.3	100
ZMYND10	NM_015896.2	100
ZNF423	NM_015069.3	100
